Observation Date,Temperature,Salinity,Dissolved Oxygen,On/Off,Probability
2000-03-01,12.17,34.42,5.81,0,0.0025
2000-03-01,10.75,34.23,5.98,0,0.0015
2000-03-01,3.78,31.951,6.68,0,0.0001
2000-03-01,5.44,32.247,6.77,0,0.0002
2000-03-01,11.47,34.39,6.02,0,0.0019
2000-03-01,10.45,34.28,6.2,0,0.0013
2000-03-01,10.63,34.35,6.19,0,0.0013
2000-03-01,13.1,34.03,5.67,0,0.0035
2000-03-01,7.55,32.858000000000004,6.51,0,0.0004
2000-03-01,14.09,34.34,5.51,0,0.0051
2000-03-01,8.76,33.176,5.99,0,0.0007
2000-03-01,10.95,34.29,6.15,0,0.0015
2000-03-01,6.82,32.575,6.24,0,0.0004
2000-03-01,10.72,34.19,6.24,0,0.0014
2000-03-01,14.21,34.23,5.76,0,0.0051
2000-03-01,6.31,32.443000000000005,6.46,0,0.0003
2000-03-01,7.35,32.753,6.45,0,0.0004
2000-03-01,14.69,34.09,5.63,0,0.0062
2000-03-01,15.48,33.49,5.35,0,0.0087
2000-03-01,7.61,32.733000000000004,6.39,0,0.0005
2000-03-01,7.75,32.671,6.42,0,0.0005
2000-03-01,16.11,34.03,4.98,0,0.0114
2000-03-01,7.85,32.693000000000005,6.45,0,0.0005
2000-03-02,16.25,34.51,5.06,0,0.0116
2000-03-02,7.77,32.716,6.29,0,0.0005
2000-03-02,7.87,32.654,6.24,0,0.0005
2000-03-02,7.66,32.631,6.31,0,0.0005
2000-03-02,7.27,32.594,6.43,0,0.0004
2000-03-02,6.66,32.497,6.54,0,0.0003
2000-03-02,6.19,32.493,6.68,0,0.0003
2000-03-03,12.49,34.5,6.02,0,0.0027
2000-03-03,12.26,34.49,5.84,0,0.0025
2000-03-03,12.74,34.49,5.91,0,0.0029
2000-03-03,11.09,34.18,6.15,0,0.0016
2000-03-03,11.04,34.18,6.2,0,0.0016
2000-03-03,10.19,34.19,6.15,0,0.0012
2000-03-04,12.66,34.46,6.08,0,0.0028
2000-03-04,11.16,34.22,6.22,0,0.0016
2000-03-04,13.47,34.51,5.77,0,0.0039
2000-03-04,13.41,34.51,5.81,0,0.0038
2000-03-04,12.15,34.45,5.83,0,0.0024
2000-03-04,11.99,34.46,6.04,0,0.0022
2000-03-04,11.99,34.46,6.01,0,0.0022
2000-03-04,12.67,34.46,5.86,0,0.0029
2000-03-04,12.92,34.43,5.86,0,0.0032
2000-03-04,13.47,34.52,5.84,0,0.0039
2000-03-04,13.47,34.52,5.87,0,0.0038
2000-03-04,13.54,34.53,6.17,0,0.0038
2000-03-04,14.5,34.55,6.2,0,0.0052
2000-03-05,13.96,34.54,6.17,0,0.0044
2000-03-05,12.35,34.4,6.14,0,0.0025
2000-03-05,13.21,34.5,6.25,0,0.0033
2000-03-05,12.35,34.4,6.14,0,0.0025
2000-04-03,13.19,34.395,6.51,0,0.0032
2000-04-03,14.25,34.476,6.35,0,0.0047
2000-04-03,13.71,34.508,6.42,0,0.0038
2000-04-03,13.97,34.497,6.45,0,0.0042
2000-04-03,13.37,34.439,6.41,0,0.0034
2000-04-03,13.45,34.416,6.51,0,0.0035
2000-04-03,12.27,34.398,6.3,0,0.0024
2000-04-03,11.3,34.126,6.98,0,0.0015
2000-04-04,11.29,34.269,6.33,0,0.0017
2000-04-04,11.12,33.968,6.35,0,0.0016
2000-04-04,10.77,33.998000000000005,6.33,0,0.0014
2000-04-04,13.48,34.336,6.33,0,0.0036
2000-04-04,14.72,34.493,5.69,0,0.0061
2000-04-04,15.13,34.495,6.0,0,0.0068
2000-04-04,14.97,34.468,5.67,0,0.0067
2000-04-04,14.73,34.388000000000005,5.84,0,0.006
2000-04-04,10.69,34.44,6.22,0,0.0014
2000-04-04,9.39,34.33,6.32,0,0.0008
2000-04-04,10.21,34.39,6.29,0,0.0011
2000-04-04,14.02,34.293,5.81,0,0.0047
2000-04-04,7.83,34.16,6.56,0,0.0005
2000-04-04,12.27,34.159,6.23,0,0.0024
2000-04-04,9.98,33.588,6.57,0,0.001
2000-04-04,9.93,33.62,6.48,0,0.001
2000-04-04,10.38,33.638000000000005,6.27,0,0.0012
2000-04-04,10.95,33.769,6.33,0,0.0015
2000-04-04,13.67,34.181,5.84,0,0.0042
2000-04-04,14.45,34.198,5.79,0,0.0055
2000-04-04,15.23,34.35,5.95,0,0.0071
2000-04-06,12.3,34.47,6.04,0,0.0025
2000-04-06,11.88,34.48,6.16,0,0.0021
2000-04-06,7.75,34.13,6.37,0,0.0005
2000-04-07,15.01,34.328,5.77,0,0.0068
2000-04-07,14.86,34.227,5.92,0,0.0063
2000-04-07,15.28,34.525,5.72,0,0.0075
2000-04-07,15.36,34.601,5.73,0,0.0076
2000-04-07,15.87,34.698,5.78,0,0.009
2000-04-07,15.75,34.397,5.93,0,0.0085
2000-04-07,15.75,34.396,5.54,0,0.0091
2000-04-07,15.21,34.258,5.63,0,0.0074
2000-04-07,14.05,33.974000000000004,5.88,0,0.0048
2000-04-07,13.8,33.969,5.83,0,0.0044
2000-04-07,13.03,33.787,6.07,0,0.0033
2000-04-07,10.94,33.046,5.69,0,0.0017
2000-04-08,10.9,32.943000000000005,6.45,0,0.0015
2000-04-08,10.49,32.623000000000005,6.42,0,0.0013
2000-04-08,10.36,33.22,6.56,0,0.0012
2000-04-08,10.42,33.146,6.55,0,0.0012
2000-04-08,10.68,33.306,6.54,0,0.0013
2000-04-08,11.04,33.493,6.42,0,0.0015
2000-04-08,11.2,33.609,6.24,0,0.0017
2000-04-08,11.16,33.338,6.45,0,0.0016
2000-04-08,11.27,33.345,6.33,0,0.0017
2000-04-08,13.17,33.965,5.89,0,0.0035
2000-04-08,13.62,34.010999999999996,5.87,0,0.0041
2000-04-08,13.54,34.46,6.18,0,0.0038
2000-04-08,13.38,34.44,6.08,0,0.0036
2000-04-08,12.5,34.47,6.44,0,0.0025
2000-04-08,11.59,34.36,6.23,0,0.0019
2000-04-08,13.24,34.45,6.32,0,0.0033
2000-04-09,12.27,34.47,6.26,0,0.0024
2000-04-09,11.94,34.49,6.33,0,0.0021
2000-04-09,9.99,34.39,6.28,0,0.0011
2000-04-09,10.72,34.43,6.28,0,0.0014
2000-04-09,12.4,34.02,6.06,0,0.0026
2000-04-09,9.81,34.38,6.48,0,0.001
2000-04-09,12.85,34.023,5.97,0,0.0031
2000-04-09,10.66,33.68,6.07,0,0.0014
2000-04-09,9.97,33.419000000000004,6.23,0,0.0011
2000-04-09,10.38,34.42,6.15,0,0.0012
2000-04-09,10.55,34.42,6.1,0,0.0013
2000-04-09,10.8,34.43,6.01,0,0.0015
2000-04-09,11.77,34.46,6.18,0,0.002
2000-04-09,11.62,34.46,6.23,0,0.0019
2000-04-14,12.42,34.49,6.21,0,0.0025
2000-04-14,11.63,34.36,6.43,0,0.0018
2000-04-14,11.3,34.3,6.29,0,0.0017
2000-04-14,11.08,34.28,6.47,0,0.0015
2000-04-14,11.24,34.29,6.38,0,0.0016
2000-04-15,11.67,34.37,6.28,0,0.0019
2000-04-15,11.17,34.29,6.27,0,0.0016
2000-04-15,11.27,34.28,6.27,0,0.0017
2000-04-15,11.63,34.37,6.41,0,0.0018
2000-04-15,13.43,34.46,6.34,0,0.0035
2000-04-15,12.85,34.47,6.38,0,0.0029
2000-04-15,11.69,34.45,6.74,0,0.0018
2000-04-15,11.88,34.44,6.52,0,0.002
2000-04-15,11.95,34.43,6.7,0,0.002
2000-04-16,12.13,34.34,6.19,0,0.0023
2000-04-16,13.15,34.43,6.04,0,0.0033
2000-04-16,13.6,34.43,6.14,0,0.0039
2000-04-16,13.56,34.45,6.35,0,0.0037
2000-04-16,13.31,34.47,6.39,0,0.0033
2000-04-16,12.45,34.45,6.17,0,0.0026
2000-04-16,12.44,34.44,6.21,0,0.0025
2000-04-16,12.09,34.41,6.17,0,0.0023
2000-04-17,13.34,34.56,6.21,0,0.0035
2000-04-17,13.26,34.56,6.13,0,0.0034
2000-04-17,13.51,34.51,6.4,0,0.0036
2000-04-17,14.06,34.59,6.03,0,0.0046
2000-04-17,14.44,34.56,6.16,0,0.0052
2000-04-17,12.2,34.32,6.19,0,0.0023
2000-04-17,11.3,34.23,6.24,0,0.0017
2000-04-17,11.39,34.38,6.2,0,0.0018
2000-04-17,12.82,34.33,6.17,0,0.0029
2000-04-17,12.25,34.33,6.2,0,0.0024
2000-04-17,13.65,34.43,6.22,0,0.0039
2000-04-18,14.36,34.59,6.19,0,0.005
2000-04-19,8.29,32.27,7.06,0,0.0005
2000-04-19,8.37,32.352,7.03,0,0.0006
2000-04-19,9.85,33.056999999999995,7.27,0,0.0009
2000-04-20,10.17,33.124,7.35,0,0.001
2000-04-20,9.09,32.751999999999995,7.24,0,0.0007
2000-04-20,8.72,32.681,7.15,0,0.0006
2000-04-20,8.87,32.639,7.01,0,0.0007
2000-04-20,9.27,32.819,6.8,0,0.0008
2000-04-20,8.71,32.656,6.9,0,0.0006
2000-04-20,9.25,32.663000000000004,6.94,0,0.0008
2000-04-20,9.59,32.71,7.68,0,0.0008
2000-04-20,9.52,32.61,7.67,0,0.0008
2000-04-20,9.74,32.628,7.99,0,0.0008
2000-04-20,9.45,32.644,7.62,0,0.0007
2000-04-20,9.34,32.629,7.31,0,0.0007
2000-04-20,8.35,32.491,7.19,0,0.0005
2000-04-24,14.39,34.56,5.97,0,0.0052
2000-04-24,14.5,34.52,5.94,0,0.0055
2000-04-24,10.39,32.128,6.68,0,0.0012
2000-04-24,9.93,32.546,7.79,0,0.0009
2000-04-24,9.22,32.417,7.36,0,0.0007
2000-04-24,9.92,32.523,7.99,0,0.0008
2000-04-24,14.87,34.55,5.93,0,0.0062
2000-04-24,9.93,32.546,7.79,0,0.0009
2000-04-24,14.41,34.46,6.17,0,0.0051
2000-04-24,9.87,32.554,7.67,0,0.0009
2000-04-24,12.63,34.21,6.13,0,0.0028
2000-04-24,10.05,32.562,7.47,0,0.0009
2000-04-24,11.75,34.18,6.27,0,0.002
2000-04-24,10.13,32.528,7.25,0,0.001
2000-04-24,9.88,32.504,7.03,0,0.0009
2000-04-25,9.35,32.444,7.14,0,0.0008
2000-04-25,9.37,32.455999999999996,7.34,0,0.0008
2000-04-25,9.28,32.473,7.18,0,0.0007
2000-04-25,9.17,32.471,7.05,0,0.0007
2000-04-25,8.72,32.459,7.25,0,0.0006
2000-04-25,9.05,32.417,7.4,0,0.0007
2000-04-25,8.44,32.379,7.53,0,0.0005
2000-04-25,7.87,32.16,7.68,0,0.0004
2000-04-25,8.14,31.868000000000002,7.46,0,0.0005
2000-04-25,8.8,31.737,7.47,0,0.0006
2000-04-28,8.7,31.705,7.78,0,0.0006
2000-04-28,8.7,31.763,7.67,0,0.0006
2000-04-28,8.64,31.916,7.65,0,0.0006
2000-04-28,8.34,32.048,7.38,0,0.0005
2000-04-28,9.32,32.283,7.07,0,0.0008
2000-04-28,9.64,32.312,7.04,0,0.0009
2000-04-28,10.21,32.368,6.97,0,0.0011
2000-04-28,9.55,32.385999999999996,6.98,0,0.0009
2000-04-28,9.92,32.41,6.98,0,0.001
2000-04-28,10.79,32.452,7.14,0,0.0013
2000-04-28,9.46,32.364000000000004,7.21,0,0.0008
2000-04-28,9.47,32.388000000000005,6.98,0,0.0008
2000-04-28,9.43,32.318000000000005,7.09,0,0.0008
2000-04-29,9.14,32.083,7.24,0,0.0007
2000-04-29,9.31,32.0,7.45,0,0.0007
2000-04-29,9.18,31.875,7.71,0,0.0007
2000-04-29,8.47,31.601,7.53,0,0.0005
2000-04-29,7.88,31.493000000000002,7.2,0,0.0005
2000-05-23,20.84,33.7,5.12,0,0.0573
2000-05-23,19.22,32.97,6.84,0,0.0259
2000-05-23,20.89,32.68,5.83,0,0.0539
2000-05-23,21.45,32.54,5.61,0,0.0673
2000-05-23,19.89,28.4,6.58,0,0.0384
2000-05-24,20.17,29.28,5.61,0,0.0478
2000-05-24,20.11,33.11,5.55,0,0.0427
2000-05-24,20.5,32.87,5.61,0,0.0486
2000-05-24,20.62,33.06,5.61,0,0.0503
2000-05-25,19.65,33.7,5.58,0,0.0357
2000-05-25,21.81,33.87,5.92,0,0.07
2000-05-25,21.8,33.48,5.46,0,0.0754
2000-05-25,22.52,33.66,5.89,0,0.0892
2000-05-25,21.3,33.97,5.46,0,0.0631
2000-05-25,20.69,32.8,6.26,0,0.0471
2000-05-25,21.1,32.88,5.63,0,0.0592
2000-05-26,21.2,33.13,5.72,0,0.06
2000-05-26,21.33,33.12,5.55,0,0.0643
2000-06-07,15.95,33.55,6.11,0,0.0091
2000-06-07,12.48,31.56,6.3,0,0.0027
2000-06-07,16.9,33.51,6.01,0,0.0129
2000-06-07,16.83,33.61,6.07,0,0.0125
2000-06-07,17.41,33.82,6.04,0,0.0153
2000-06-07,17.78,34.21,5.86,0,0.0177
2000-06-08,18.32,34.22,5.78,0,0.0216
2000-06-08,18.25,34.22,5.78,0,0.0211
2000-06-08,18.92,34.31,5.6,0,0.0273
2000-06-08,18.55,34.33,5.61,0,0.0239
2000-06-08,18.11,34.32,5.54,0,0.0208
2000-06-08,18.89,34.31,5.73,0,0.0265
2000-06-08,18.85,34.31,5.3,0,0.0279
2000-06-08,18.69,34.31,5.49,0,0.0256
2000-06-08,18.25,34.24,5.42,0,0.0223
2000-06-08,16.34,33.65,5.77,0,0.011
2000-06-08,16.4,32.55,6.1,0,0.011
2000-06-08,16.55,33.53,6.05,0,0.0114
2000-06-09,16.18,31.933000000000003,6.11,0,0.0103
2000-06-09,16.98,32.041,6.01,0,0.0139
2000-06-09,17.42,32.049,5.95,0,0.0163
2000-06-09,17.6,32.027,5.94,0,0.0174
2000-06-09,18.48,32.236,5.86,0,0.0238
2000-06-09,18.13,32.294000000000004,5.8,0,0.0212
2000-06-09,18.15,32.238,5.51,0,0.0224
2000-06-09,18.12,32.22,5.34,0,0.0228
2000-06-09,18.36,32.153,5.63,0,0.0237
2000-06-09,17.42,32.049,5.95,0,0.0163
2000-06-09,18.63,31.795,5.61,0,0.0264
2000-06-09,18.92,32.092,5.5,0,0.0294
2000-06-09,19.0,32.048,5.59,0,0.0298
2000-06-09,19.14,32.014,5.65,0,0.0311
2000-06-10,18.61,32.198,5.85,0,0.025
2000-06-10,13.46,31.986,6.13,0,0.0039
2000-06-10,15.72,31.784000000000002,6.2,0,0.0087
2000-06-10,15.36,31.691999999999997,6.41,0,0.0074
2000-06-10,15.33,33.81,5.89,0,0.0075
2000-06-10,14.94,33.79,5.98,0,0.0065
2000-06-10,15.81,33.75,5.8,0,0.0091
2000-06-10,17.13,34.27,5.44,0,0.015
2000-06-10,17.38,34.29,5.4,0,0.0165
2000-06-10,17.41,34.28,5.44,0,0.0166
2000-06-10,18.1,34.36,5.61,0,0.0205
2000-06-10,18.0,34.36,5.73,0,0.0194
2000-06-10,16.44,34.28,5.6,0,0.0115
2000-06-10,17.82,34.3,5.65,0,0.0185
2000-06-11,17.73,31.288,5.72,0,0.0192
2000-06-11,16.98,32.115,5.77,0,0.0144
2000-06-11,19.22,32.218,5.62,0,0.0319
2000-06-11,19.58,32.118,5.57,0,0.0365
2000-06-11,19.82,32.169000000000004,5.5,0,0.0399
2000-06-11,19.79,32.213,5.61,0,0.0388
2000-06-11,20.02,32.141999999999996,5.78,0,0.041
2000-06-11,20.28,32.145,5.79,0,0.0447
2000-06-11,19.56,32.048,5.88,0,0.0346
2000-06-11,19.92,32.104,5.85,0,0.0393
2000-06-11,18.79,32.108000000000004,5.65,0,0.0275
2000-06-11,19.93,32.109,5.54,0,0.0413
2000-06-12,19.52,32.213,5.53,0,0.0358
2000-06-12,19.63,32.313,5.5,0,0.0373
2000-06-12,19.65,32.361,5.56,0,0.0372
2000-06-12,18.8,32.431,5.61,0,0.0275
2000-06-12,19.04,32.388000000000005,5.77,0,0.0292
2000-06-12,17.26,32.439,5.91,0,0.0154
2000-06-12,18.52,34.34,5.44,0,0.0243
2000-06-12,18.9,34.33,5.62,0,0.027
2000-06-12,18.93,34.34,5.24,0,0.0289
2000-06-12,18.45,34.36,5.35,0,0.0241
2000-06-12,18.57,34.22,5.64,0,0.0241
2000-06-12,17.36,33.71,5.71,0,0.0158
2000-06-12,16.08,33.65,5.82,0,0.01
2000-06-12,15.69,33.71,5.86,0,0.0086
2000-06-12,15.8,33.64,5.88,0,0.0089
2000-06-13,17.27,33.52,5.81,0,0.0152
2000-06-13,17.71,33.54,5.87,0,0.0175
2000-06-13,17.89,33.51,5.83,0,0.0188
2000-06-13,18.31,33.56,5.6,0,0.0225
2000-06-13,18.98,33.88,5.14,0,0.0302
2000-06-13,19.14,34.11,5.24,0,0.0313
2000-06-13,18.12,33.54,5.54,0,0.0213
2000-06-13,18.55,34.32,5.21,0,0.0255
2000-06-13,18.28,34.35,5.02,0,0.0239
2000-06-13,18.04,32.904,5.67,0,0.0207
2000-06-13,18.25,33.074,5.83,0,0.0216
2000-06-13,19.92,33.9,5.49,0,0.0395
2000-06-13,19.18,34.33,5.21,0,0.0316
2000-06-13,19.72,33.92,5.14,0,0.0389
2000-06-13,18.77,33.246,5.49,0,0.0271
2000-06-13,19.28,33.85,5.43,0,0.0321
2000-06-13,18.38,33.169000000000004,5.91,0,0.0222
2000-06-13,18.01,33.683,6.15,0,0.0186
2000-06-13,18.68,33.63,5.43,0,0.0262
2000-06-13,18.12,33.54,5.54,0,0.0213
2000-06-13,18.45,33.101,5.86,0,0.023
2000-06-13,18.38,33.507,6.38,0,0.0205
2000-06-13,17.73,33.44,5.54,0,0.0186
2000-06-13,18.13,33.024,6.03,0,0.0201
2000-06-13,17.7,33.55,5.65,0,0.0181
2000-06-13,16.84,33.54,5.54,0,0.0136
2000-06-13,17.07,33.62,5.56,0,0.0147
2000-06-13,18.1,32.908,5.74,0,0.0209
2000-06-13,18.29,32.897,5.88,0,0.0218
2000-06-14,21.06,32.912,5.13,0,0.0629
2000-06-14,21.46,32.336999999999996,5.5,0,0.069
2000-06-14,21.21,32.253,5.13,0,0.0672
2000-06-14,20.62,33.149,5.3,0,0.0526
2000-06-14,18.13,32.96,5.74,0,0.021
2000-06-14,17.2,33.135,5.86,0,0.0149
2000-06-14,17.68,33.318000000000005,6.02,0,0.0171
2000-06-14,17.66,33.269,6.03,0,0.0169
2000-06-14,16.76,33.289,6.16,0,0.0121
2000-06-14,15.5,33.332,6.11,0,0.0078
2000-06-14,17.47,32.995,5.86,0,0.0164
2000-06-14,17.78,33.699,5.94,0,0.0177
2000-06-14,20.04,33.501,5.37,0,0.0424
2000-06-15,17.92,33.61,5.67,0,0.0194
2000-06-15,18.38,33.65,5.65,0,0.0228
2000-06-15,18.17,33.65,5.52,0,0.0217
2000-06-15,17.68,33.69,5.64,0,0.0179
2000-06-15,17.61,33.63,5.87,0,0.0169
2000-06-15,18.46,33.65,5.98,0,0.0223
2000-06-15,19.22,32.691,6.66,0,0.0269
2000-06-15,17.89,33.007,6.67,0,0.0167
2000-06-15,18.45,33.14,5.84,0,0.0231
2000-06-15,18.43,32.577,6.12,0,0.0223
2000-06-15,18.29,33.12,5.76,0,0.0221
2000-06-15,18.67,32.476,5.54,0,0.0265
2000-06-15,16.72,33.55,5.64,0,0.0129
2000-06-15,18.43,32.666,5.55,0,0.0242
2000-06-15,15.25,33.54,5.8,0,0.0075
2000-06-15,19.78,32.481,5.52,0,0.039
